Student_ID,Age,Gender,Department,Year,Hours_Studied,Attendance,Previous_Marks,Assignment_Score,Internal_Marks,Quiz_Score,Practical_Score,Study_Hours_Per_Day,Sleep_Hours,Class_Participation,Internet_Usage,Final_Marks,Passed
S1861,22,Female,ECE,1,7.0,84.5,75.8,57.3,79.4,83.0,80.2,1.3,7.0,High,3.9,52.4,1
S0354,19,Female,AIML,3,13.2,100.0,76.1,93.1,81.4,66.8,77.6,7.1,5.2,Medium,5.7,71.8,1
S1334,25,Male,IT,2,4.7,69.3,44.9,63.9,74.5,41.5,62.7,2.7,5.9,Medium,2.4,37.4,0
S0906,23,Male,CSE,1,8.4,82.2,65.8,91.7,77.0,63.4,100.0,4.7,5.6,High,1.8,49.7,1
S1290,18,Male,EEE,4,10.0,64.2,68.1,73.0,62.0,47.7,62.5,2.8,7.2,High,1.3,54.1,1
S1274,18,Male,EEE,1,1.1,59.5,37.2,41.8,52.4,43.5,53.1,1.3,9.5,Low,2.0,45.1,1
S0939,18,Female,EEE,2,2.1,77.5,79.0,77.1,79.3,64.2,65.2,3.6,7.4,Medium,4.0,54.9,1
S1732,21,Female,IT,1,2.4,80.4,68.3,62.1,76.8,72.3,56.4,4.8,6.8,Medium,2.0,43.0,1
S0066,21,Female,CSE,4,0.7,51.4,36.5,30.1,40.9,48.7,35.6,0.3,8.2,Low,5.2,23.8,0
S1324,19,Female,AIML,3,10.3,58.4,67.9,76.1,76.6,68.6,79.3,6.4,7.3,Medium,3.3,63.2,1
S0057,18,Male,EEE,2,0.5,43.5,32.2,44.8,42.9,43.7,25.0,0.3,6.1,Low,5.6,24.8,0
S1293,21,Male,CSE,1,8.4,89.5,82.7,61.8,72.9,91.6,83.4,4.3,8.1,High,0.5,66.5,1
S1119,19,Male,EEE,3,1.5,69.3,60.1,63.9,47.9,58.3,81.7,2.7,6.1,Low,4.6,58.7,1
S0585,21,Female,ME,3,2.2,43.4,46.9,65.8,53.5,44.3,52.4,0.3,7.2,Low,2.6,32.9,0
S0375,18,Female,ECE,1,6.5,86.7,65.3,58.2,55.2,55.4,68.9,1.8,6.2,High,4.5,48.6,1
S0276,20,Female,ECE,3,2.3,53.7,41.0,77.2,40.1,56.5,55.6,1.4,7.1,Low,5.7,47.8,1
S0747,20,Female,CSE,3,1.6,54.3,44.7,52.3,65.5,33.4,56.3,2.1,7.8,Low,5.2,42.6,1
S0129,18,Female,IT,1,6.7,59.0,47.9,63.0,57.0,45.2,47.1,0.3,7.7,High,0.8,42.7,1
S1647,19,Male,CSE,2,14.0,73.0,73.9,71.1,78.9,73.7,84.8,2.3,6.5,Low,4.8,66.0,1
S1853,22,Female,Civil,4,8.5,92.2,75.7,66.6,89.1,76.2,74.6,4.9,8.3,High,3.7,48.0,1
S0675,20,Female,IT,1,7.5,85.6,69.9,80.5,69.6,53.7,64.5,1.5,5.7,High,2.5,55.2,1
S1665,25,Female,ME,2,9.8,85.4,72.0,66.5,81.1,72.1,70.7,3.0,5.7,Low,2.5,51.7,1
S1982,22,Female,CSE,1,0.5,46.7,26.8,40.3,28.7,15.7,29.9,0.3,8.4,Low,5.6,28.0,0
S1084,23,Female,CSE,2,6.1,73.7,70.4,64.8,41.3,70.3,68.6,3.8,5.7,Medium,2.7,55.1,1
S1923,21,Female,CSE,1,4.2,75.2,86.4,81.0,74.2,84.2,78.9,4.2,5.9,High,0.5,65.3,1
S0100,18,Male,CSE,4,4.6,61.2,62.9,61.9,39.4,52.9,66.5,0.3,8.8,High,2.4,41.8,1
S1180,21,Female,AIML,2,3.9,79.9,62.9,61.3,64.9,60.0,77.2,2.3,6.8,Medium,3.2,43.8,1
S0965,19,Female,ECE,2,6.3,86.1,72.1,87.1,70.7,89.2,81.1,3.9,6.3,Medium,7.8,63.8,1
S0793,20,Female,CSE,2,9.5,72.3,82.7,75.5,85.8,82.6,49.7,3.5,6.2,High,1.7,67.4,1
S0030,18,Female,IT,1,1.9,48.8,55.6,50.4,56.5,30.3,51.0,0.4,7.7,Low,3.1,40.1,1
S0629,18,Male,ME,3,1.1,57.3,49.5,59.9,49.1,49.0,56.1,4.4,7.0,Low,0.9,38.6,0
S0945,19,Female,EEE,3,11.1,73.4,64.9,57.0,54.7,52.4,65.8,2.6,5.8,Low,2.7,44.1,1
S0573,20,Male,CSE,1,0.5,74.3,49.7,28.6,56.6,62.5,63.8,1.5,6.7,Low,5.1,47.3,1
S0908,20,Male,CSE,4,10.7,100.0,86.0,79.2,86.4,57.0,64.0,3.6,7.0,High,4.4,67.1,1
S1081,22,Female,CSE,2,5.4,49.7,47.6,75.3,59.6,78.2,72.2,0.3,7.8,Low,3.1,31.1,0
S0451,22,Male,IT,4,1.2,39.6,65.1,57.0,55.6,50.4,63.6,2.0,7.1,Medium,3.2,32.2,0
S1610,21,Female,ECE,1,9.7,61.7,79.1,64.7,53.7,66.2,53.3,2.6,5.9,Low,3.1,55.0,1
S1291,20,Male,IT,3,0.5,93.3,64.4,59.7,69.8,42.5,55.1,0.6,8.3,Medium,6.3,31.0,0
S1079,19,Male,ECE,3,9.1,89.4,75.1,100.0,83.7,71.3,70.5,3.8,6.1,High,3.5,57.6,1
S0255,19,Female,CSE,2,4.6,74.3,58.4,78.7,58.2,53.8,79.3,0.3,6.9,Low,1.5,48.8,1
S0125,19,Female,EEE,4,1.1,61.7,59.9,52.1,55.4,59.6,48.1,0.8,5.0,Low,4.2,54.8,1
S1928,20,Female,ME,4,8.1,71.4,65.2,81.7,80.2,64.1,64.3,3.9,5.7,Medium,5.0,48.8,1
S0252,20,Female,CSE,1,4.5,44.0,53.4,58.3,62.3,53.5,53.5,2.5,7.0,Low,4.2,49.9,1
S0586,19,Female,AIML,2,9.2,82.7,85.3,87.3,72.4,75.9,79.1,3.1,6.5,High,0.9,74.9,1
S1569,21,Female,Civil,4,6.1,100.0,83.4,77.9,83.9,83.9,89.2,2.6,7.1,High,3.7,57.4,1
S0825,21,Male,ECE,1,7.5,59.0,68.4,69.2,65.5,63.0,74.3,2.9,6.9,High,3.8,57.8,1
S0508,22,Male,CSE,4,2.2,62.9,52.9,37.1,50.0,67.0,54.1,0.3,7.0,Low,4.9,36.7,0
